Code,Company name,GICS industry group,High,Low,Open,Close,Volume,Adj Close,moving_20,moving_100,std,price_change,pc_change,short_pred,long_pred
COE,COOPER ENERGY LIMITED,Energy,0.5400000214576721,0.5199999809265137,0.5249999761581421,0.5350000262260437,5477683.0,0.535,0.5367500007152557,0.5246999981999397,0.0989974197256206,0.01,1.9,SELL,BUY
CTD,CORPORATE TRAVEL MANAGEMENT LIMITED,Consumer Services,22.239999771118164,21.739999771118164,21.739999771118164,22.030000686645508,214804.0,22.03,22.108000087738038,24.193228130340575,8.78704018100168,0.29,1.33,SELL,SELL
CGC,COSTA GROUP HOLDINGS LIMITED,"Food, Beverage & Tobacco",4.289999961853027,4.090000152587891,4.260000228881836,4.139999866485596,5853788.0,4.14,4.154500043392181,4.794162943363189,1.883355481538355,-0.12,-2.82,SELL,SELL
CCP,CREDIT CORP GROUP LIMITED,Diversified Financials,27.030000686645508,26.450000762939453,26.610000610351562,26.93000030517578,144429.0,26.93,26.635500049591066,24.080488262176512,6.570066155711222,0.32,1.2,BUY,BUY
CMW,CROMWELL PROPERTY GROUP,Real Estate,1.1749999523162842,1.159999966621399,1.1649999618530273,1.1699999570846558,3505672.0,1.17,1.1917776346206665,1.1318995916843415,0.23738489714327607,0.005,0.43,SELL,BUY
CWN,CROWN RESORTS LIMITED,Consumer Services,12.744999885559082,12.625,12.680000305175781,12.670000076293945,912603.0,12.67,12.613000011444091,12.401687841415406,2.650209509677324,-0.01,-0.08,BUY,BUY
CSL,CSL LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",225.1999969482422,223.0,224.4600067138672,224.77999877929688,769356.0,224.78,219.64649963378906,204.01273132324218,54.861289857294125,0.32,0.14,BUY,BUY
CSR,CSR LIMITED,Materials,4.340000152587891,4.130000114440918,4.170000076293945,4.309999942779541,2197033.0,4.31,4.1234999895095825,3.60251877784729,1.000897926432229,0.14,3.36,BUY,BUY
CYB,CYBG PLC,Banks,3.5299999713897705,3.430000066757202,3.450000047683716,3.490000009536743,2719416.0,3.49,3.5650000095367433,3.6097000002861024,0.7975998955948304,0.04,1.16,SELL,SELL
DXS,DEXUS,Real Estate,13.649999618530273,13.305000305175781,13.529999732971191,13.609999656677246,2044296.0,13.61,13.450821876525879,12.747462434768677,2.4795112068252982,0.08,0.59,BUY,BUY
DHG,DOMAIN HOLDINGS AUSTRALIA LIMITED.,Media & Entertainment,3.0899999141693115,3.0350000858306885,3.049999952316284,3.059999942779541,411356.0,3.06,3.1325000047683718,2.9625999879837037,0.3897137011149792,0.01,0.33,SELL,BUY
DMP,DOMINO'S PIZZA ENTERPRISES LIMITED,Consumer Services,38.0,37.209999084472656,37.790000915527344,37.470001220703125,525251.0,37.47,38.58500003814697,40.7559300994873,20.853042600496906,-0.32,-0.85,SELL,SELL
DOW,DOWNER EDI LIMITED,Commercial & Professional Services,6.900000095367432,6.760000228881836,6.809999942779541,6.869999885559082,1171402.0,6.87,6.976999998092651,7.443999981880188,1.6820651538739229,0.06,0.88,SELL,SELL
DLX,DULUXGROUP LIMITED,Materials,9.359999656677246,9.34000015258789,9.350000381469727,9.359999656677246,902772.0,9.36,9.332499933242797,8.693690643310546,1.984392510993217,0.01,0.11,BUY,BUY
ECX,ECLIPX GROUP LIMITED,Diversified Financials,1.6050000190734863,1.5099999904632568,1.5199999809265137,1.5299999713897705,2387182.0,1.53,1.392500001192093,1.2150500017404555,0.7189168231716667,0.01,0.66,BUY,BUY
ELD,ELDERS LIMITED,"Food, Beverage & Tobacco",7.289999961853027,7.019999980926514,7.039999961853027,7.260000228881836,520806.0,7.26,6.301015496253967,6.045037145614624,2.4444414420622005,0.22,3.13,BUY,BUY
EHL,EMECO HOLDINGS LIMITED,Capital Goods,2.2100000381469727,2.1500000953674316,2.200000047683716,2.2100000381469727,562381.0,2.21,2.0949999690055847,1.9894499921798705,3.4274896754028066,0.01,0.45,BUY,BUY
EHE,ESTIA HEALTH LIMITED,Health Care Equipment & Services,2.759999990463257,2.6600000858306885,2.700000047683716,2.690000057220459,607475.0,2.69,2.674500024318695,2.6887067914009095,1.1027089719829268,-0.01,-0.37,BUY,BUY
EVN,EVOLUTION MINING LIMITED,Materials,4.96999979019165,4.815000057220459,4.849999904632568,4.829999923706055,13477838.0,4.83,4.398499989509583,3.776500005722046,0.9010945496771348,-0.02,-0.41,BUY,BUY
FPH,FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED,Health Care Equipment & Services,15.350000381469727,15.130000114440918,15.170000076293945,15.300000190734863,179074.0,15.3,15.032999897003174,14.64813401222229,4.313817499725817,0.13,0.86,BUY,BUY
